Product (English),Minimum Qty / Pack,"Dumartarai Mandi
01-08-2026","Kumhari Mandi
01-08-2026","Kumhari Mandi
02-08-2026","Kumhari Mandi
04-08-2026","Kumhari Mandi
05-08-2026","Kumhari Mandi
06-08-2026","Sastri Mandi
07-08-2026","Kumhari Mandi
08-08-2026","Kumhari Mandi
09-08-2026","Kumhari Mandi
11-08-2026","Kumhari Mandi
12-08-2026","Kumhari Mandi
13-08-2026","Kumhari Mandi
14-08-2026","Kumhari Mandi
16-08-2026","Kumhari Mandi
18-08-2026","Kumhari Mandi
19-08-2026","Kumhari Mandi
20-08-2026",,,,,,,,,,,,,,,
Radish,15 kg,—,?23/kg,?25/kg,?18,?20,?22,?20,?16,20,20,25,10,22,12,10,25,20,,,,,,,,,,,,,,,
Red Amaranth (Lal Bhaji),17 kg,—,?31/kg,?30/kg,?27,?27,?31,?30,-,20,31,-,28,-,17,27,25,19,,,,,,,,,,,,,,,
Round Gourd (Tinda),15 kg,—,?100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
Sponge Gourd (Galka),15 kg,—,?20/kg,?19kg/14kg,?23,?20,?18,?20,?18,25,22,20,15,18,12,25,-,18,,,,,,,,,,,,,,,
Sweet Corn,40 pcs,?400,?13/pcs,-,-,-,-,?350,?400,-,10/pcs,-,-,16/pcs,-,-,-,8rs/pcs,,,,,,,,,,,,,,,
Taro Root (Arbi/Colocasia),48 kg,"?1,100",?25/kg,?32/kg/20kg,?28,-,?25,?27,?25,10,22,-,-,25,30,30,28,35,,,,,,,,,,,,,,,
Tomato,25 kg,?400,?350,?400,?380,?460,?400,?380,?400,350,500,650,480,600,650,400,450,370,,,,,,,,,,,,,,,
White Yardlong Beans (Barbatti),20 kg,—,?37/kg,?33/kg/19kg,?32,?27,?30,?21,?23,25,30,35,22,28,17,27,30,25,,,,,,,,,,,,,,,
Onion (Pyaj Bhaji),10kg ,,,?54/kg,?51,-,?50,-,?55,50,50,55,45,48,35,55,60,42,,,,,,,,,,,,,,,
Brinjal – Gulabi (Pink),15kg ,-,-,?30/kg,?15,?22,?24,?18,-,20,20,20,15,18,16,18,25,-,,,,,,,,,,,,,,,
Kheksi,20 kg,-,-,-,-,?60,-,-,?50,60,-,-,-,-,36,-,-,45,,,,,,,,,,,,,,,
Asparagus imported,,,-,,-,,-,,,,,,,,,,,1100,,,,,,,,,,,,,,,
Avocado imported,,,-,,-,,-,,,,,,,,,,,700,,,,,,,,,,,,,,,
Baby corn punnet,,,-,,-,,-,,,,,,,,,,,175,,,,,,,,,,,,,,,
Broccoli with stem,,,-,,-,,-,,,,,,,,,,,275,,,,,,,,,,,,,,,
Chinese cabbage,,,-,,-,,-,,,,,,,,,,,220,,,,,,,,,,,,,,,
Red cabbage,,,-,,-,,-,,,,,,,,,,,250,,,,,,,,,,,,,,,
Red cap/yello A grade,,,-,,-,,-,,,,,,,,,,,255,,,,,,,,,,,,,,,
Celery,,,-,,-,,-,,,,,,,,,,,350,,,,,,,,,,,,,,,
Cherry tomato,,,-,,-,,-,,,,,,,,,,,250,,,,,,,,,,,,,,,
Thai ginger,,,-,,-,,-,,,,,,,,,,,350,,,,,,,,,,,,,,,
Pilled garlic,,,-,,-,,-,,,,,,,,,,,145,,,,,,,,,,,,,,,
Basil,,,-,,-,,-,,,,,,,,,,,250,,,,,,,,,,,,,,,
Parsalay,,,-,,-,,-,,,,,,,,,,,350,,,,,,,,,,,,,,,
Rosemary,,,-,,-,,-,,,,,,,,,,,800,,,,,,,,,,,,,,,
Thayme,,,-,,-,,-,,,,,,,,,,,800,,,,,,,,,,,,,,,
Kafir lime,,,-,,-,,-,,,,,,,,,,,1400,,,,,,,,,,,,,,,
Leek,,,-,,-,,-,,,,,,,,,,,200,,,,,,,,,,,,,,,
Lemon grass,,,-,,-,,-,,,,,,,,,,,200,,,,,,,,,,,,,,,
Ice burg,,,-,,-,,-,,,,,,,,,,,200,,,,,,,,,,,,,,,
Lettuce leafy,,,-,,-,,-,,,,,,,,,,,300,,,,,,,,,,,,,,,
Roman green,,,-,,-,,-,,,,,,,,,,,300,,,,,,,,,,,,,,,
Lolorossa,,,-,,-,,-,,,,,,,,,,,350,,,,,,,,,,,,,,,
Mushroom,,,-,,-,,-,,,,,,,,,,,250,,,,,,,,,,,,,,,
Pokchoy,,,-,,-,,-,,,,,,,,,,,200,,,,,,,,,,,,,,,
Zucchini green,,,-,,-,,-,,,,,,,,,,,130,,,,,,,,,,,,,,,
Zuccni yellow,,,-,,-,,-,,,,,,,,,,,130,,,,,,,,,,,,,,,
Thai chilly,,,-,,-,,-,,,,,,,,,,,1200,,,,,,,,,,,,,,,
Edible flowers,,,-,,-,,-,,,,,,,,,,,230,,,,,,,,,,,,,,,
Micro green,,,-,,-,,-,,,,,,,,,,,230,,,,,,,,,,,,,,,
Chinese cucumber,,,-,,-,,-,,,,,,,,,,,150,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
